"ID_conductor","telefono","Nombre","Direcion","Turno","Rutas_ID_rutas"
1,"145-746-3282",Gonzálo,"Av. de Hytasa, 65, 41006 Sevilla",mañana,2
2,"899-299-8939",Paco,"C. Alfonso XI, 12, 41005 Sevilla",tarde,1
3,"653-615-4399",Ariadna,"C. Alonso XI, 12, 41007 Sevilla",mañana,4
4,"431-690-4771",Aislin,"Av. de Hyta, 45, 41016 Sevilla",tarde,3
5,"945-220-4899",Astrid,"C. Sonso, 12, 41005 Sevilla",tarde,5
6,"479-891-5403",Amelia,"C. Carmela, 12, 41007 Sevilla",tarde,6
7,"303-654-6003",Alicia,"333 Havey Court",mañana,8
8,"727-180-8839",Aurora,"231 Talmadge Lane",tarde,7
9,"390-511-0817",Beatriz,"96057 Fieldstone Park",mañana,9
10,"709-279-0767",Blanca,"5 Sloan Point",tarde,10
11,"204-779-9157",Camila,"03735 Graceland Lane",mañana,11
12,"928-804-3038",Carlota,"8055 Lillian Circle",tarde,12
13,"441-470-3348",Alejandro,"41602 2nd Circle",mañana,13
14,"361-349-7949",Alberto,"9062 Springs Place",tarde,14
15,"484-380-6212",Andrés,"2 Harbort Plaza",mañana,15
16,"496-829-3162",Antonio,"6 Myrtle Junction",tarde,4
17,"518-181-5305",Álvaro,"0 Stone Corner Alley",mañana,13
18,"415-329-4461",Benjamín,"07669 Lillian Court",tarde,7
19,"342-519-4474",Bruno,"6 Ridge Oak Road",mañana,6
20,"556-427-9523",Carlos,"9 Rigney Street",tarde,12
21,"632-960-5332",Cristóbal,"52 Westport Plaza",mañana,11
22,"894-273-7070",Daniel,"5029 Crowley Place",tarde,8
23,"891-512-1959",Carlota,"2 Melrose Pass",mañana,5
24,"401-938-1586",Clara,"53491 Dayton Pass",tarde,1
25,"566-866-7154",Constanza,"428 Swallow Terrace",mañana,2
26,"492-784-3468",Cristina,"11611 Russell Alley",tarde,1
27,"397-998-1147",Daniela,"61 Fairfield Pass",mañana,6
28,"632-538-8636",Diana,"87580 Blackbird Pass",tarde,7
29,"525-145-4159",Dolores,"93227 Vidon Circle",mañana,1
30,"410-483-2182",Elena,"349 Nevada Point",tarde,1
31,"205-142-5893",Elisa,"6 Stoughton Point",mañana,8
32,"727-704-9927",Emilia,"8 American Alley",tarde,15
33,"218-513-6600",Estela,"16 Carpenter Lane",mañana,9
34,"403-287-3651",Eva,"249 Tennessee Pass",tarde,14
35,"618-251-7245",Gabriela,"4 Sycamore Park",mañana,14
36,"893-538-9742",Genoveva,"66 Steensland Alley",tarde,2
37,"114-161-6180",Gloria,"6 Becker Terrace",mañana,1
38,"808-472-3256",Guadalupe,"0287 Cody Avenue",tarde,4
39,"767-795-5605",Helena,"177 Steensland Road",mañana,3
40,"816-200-0783",Isabel,"7 Prairieview Road",tarde,5
41,"874-312-3770",Itzel,"44 Reinke Place",mañana,6
42,"529-110-6825",Jazmín,"2668 Fuller Junction",tarde,8
43,"919-161-4239",Julia,"3 Waxwing Lane",mañana,7
44,"189-851-3093",Daniel,"71788 Lakeland Place",tarde,9
45,"187-910-2683",David,"34 Tennessee Parkway",mañana,10
46,"272-425-2252",Diego,"98789 Delladonna Park",tarde,11
47,"504-482-1641",Emilio,"820 Knutson Crossing",mañana,12
48,"199-778-8355",Enrique,"082 Hauk Drive",tarde,13
49,"379-870-9067",Ethan,"48 Spaight Park",mañana,14
50,"362-122-6862",Fernando,"681 Portage Center",tarde,15
51,"851-973-9588",Francisco,"42464 Artisan Center",mañana,4
52,"849-296-1341",Gabriel,"155 Sunfield Park",tarde,13
53,"933-887-8569",Gonzalo,"03 Heffernan Pass",mañana,7
54,"691-595-2754",Gregorio,"39 Veith Parkway",tarde,6
55,"507-349-9864",Hugo,"3 Mitchell Point",mañana,12
56,"751-689-8717",Ignacio,"3 Pankratz Park",tarde,11
57,"727-713-7946",Iván,"026 Express Plaza",mañana,8
58,"169-715-2523",Javier,"306 Manley Street",tarde,5
59,"614-890-9700",Joaquín,"18 Ridgeway Way",mañana,1
60,"694-770-3314",Jorge,"98415 Transport Junction",tarde,2
61,"533-365-6154",José,"8 Canary Street",mañana,1
62,"634-558-1032",Leonardo,"98 Merrick Court",tarde,6
63,"326-137-6381",Lorenzo,"30 Commercial Way",mañana,7
64,"988-347-3969",Lucas,"9398 Sunnyside Way",tarde,1
65,"356-516-0042",Lucía,"0193 Delaware Way",mañana,1
66,"304-808-8178",Laila,"996 Marcy Way",tarde,8
67,"801-516-1796",Lola,"426 Wayridge Parkway",mañana,15
68,"125-647-1160",María,"48159 Autumn Leaf Circle",tarde,9
69,"108-918-9495",Martina,"865 Killdeer Terrace",mañana,14
70,"152-449-3729",Milagros,"193 Butterfield Trail",tarde,14
71,"776-326-4097",Minerva,"7 Oriole Avenue",mañana,2
72,"316-735-5224",Noelia,"64 Ridge Oak Center",tarde,1
73,"339-880-6326",Olivia,"5 Pennsylvania Alley",mañana,4
74,"990-759-3727",Paula,"1 Anzinger Crossing",tarde,3
75,"885-657-6011",Renata,"32382 Surrey Alley",mañana,5
76,"985-382-1902",Rosario,"49761 Stone Corner Terrace",tarde,6
77,"483-892-4244",Sofía,"7 Red Cloud Point",mañana,8
78,"560-988-2854",Valeria,"5657 Dahle Circle",tarde,7
79,"144-396-1471",Victoria,"26054 Arapahoe Park",mañana,9
80,"203-771-3850",Ximena,"02160 Susan Pass",tarde,10
81,"558-818-5238",Yasmín,"9 Elmside Junction",mañana,11
82,"807-190-4769",Zenobia,"3 Stoughton Parkway",tarde,12
83,"295-416-8472",Zoila,"04399 Golden Leaf Point",mañana,13
84,"687-835-9593",Manuel,"5205 Beilfuss Junction",tarde,14
85,"709-756-0652",Marco,"2913 Crowley Trail",mañana,15
86,"318-594-0203",Mateo,"93598 Arapahoe Center",tarde,4
87,"513-702-2230",Miguel,"31605 Michigan Place",mañana,13
88,"629-535-2137",Nicolás,"661 New Castle Avenue",tarde,7
89,"250-198-5884",Pablo,"3 Killdeer Crossing",mañana,6
90,"650-250-2946",Pedro,"9 Lyons Court",tarde,12
91,"760-902-8416",Raúl,"12 Arizona Park",mañana,11
92,"927-975-1086",Ricardo,"6451 Corry Crossing",tarde,8
93,"260-979-6727",Rodrigo,"01789 Nevada Drive",mañana,5
94,"462-680-2266",Sergio,"696 Hauk Drive",tarde,1
95,"214-257-0036",Sebastián,"32 Larry Alley",mañana,2
96,"197-702-6829",Tomás,"4117 Merrick Circle",tarde,1
97,"140-146-2978",Valentín,"66 Mayer Trail",mañana,6
98,"891-711-2110",Vicente,"76 Barby Point",tarde,7
99,"219-889-4893",Xabier,"9027 Mayer Place",mañana,1
100,"214-911-4431",Yamal,"81 Maple Road",tarde,1
101,"973-779-5747",Bourke,"8557 Graedel Drive",mañana,8
102,"180-695-1395",Berty,"82 Melby Park",tarde,15
103,"182-178-1249",Neysa,"656 Morning Junction",mañana,9
104,"287-695-5345",Lyssa,"0266 Nobel Parkway",tarde,14
105,"183-606-2704",Simonne,"1541 Grayhawk Way",mañana,14
106,"626-687-4728",Dael,"14 Jana Plaza",tarde,2
107,"916-258-8014",Rollo,"76 Duke Road",mañana,1
108,"935-404-8344",Carroll,"0 Memorial Road",tarde,4
109,"600-859-5747",Christine,"86121 Browning Trail",mañana,3
110,"534-497-5188",Annie,"212 Arapahoe Terrace",tarde,5
111,"487-714-9359",Anna-maria,"42984 1st Plaza",mañana,6
112,"145-504-6606",Kial,"28 Express Junction",tarde,8
113,"482-866-3371",Issi,"2 Utah Park",mañana,7
114,"558-508-7107",Bill,"4768 Florence Place",tarde,9
115,"293-934-6639",Alyda,"2 Amoth Parkway",mañana,10
116,"824-582-9866",Ammamaria,"78 Lukken Junction",tarde,11
117,"646-999-4968",Ricardo,"620 Vermont Parkway",mañana,12
118,"103-452-3936",Demott,"26309 Vernon Court",tarde,13
119,"379-982-8175",Tibold,"2580 Lien Junction",mañana,14
120,"176-614-3301",Candis,"90825 Melby Road",tarde,15
121,"401-117-4288",Lynea,"1 Towne Plaza",mañana,4
122,"162-525-4647",Humfrid,"2290 Southridge Terrace",tarde,13
123,"807-998-1166",Lucia,"466 Debra Drive",mañana,7
124,"755-620-4669",Cicily,"8 Ridgeview Trail",tarde,6
125,"363-853-3526",Iolande,"0 Prairie Rose Avenue",mañana,12
126,"982-105-2710",Eugene,"8 Summer Ridge Way",tarde,11
127,"391-207-0041",Carolee,"8187 Scott Crossing",mañana,8
128,"745-328-3230",Beltran,"43 Harper Terrace",tarde,5
129,"406-176-8189",Esteban,"80 Prairie Rose Plaza",mañana,1
130,"726-990-3272",Caddric,"9456 Forest Point",tarde,2
131,"928-479-6574",Rozina,"74 Logan Crossing",mañana,1
132,"594-961-8440",Manon,"2 Cottonwood Avenue",tarde,6
